UID          PID    PPID  C STIME TTY          TIME CMD
root         638       1  0 16:04 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         643       1  0 16:04 ?        00:00:00 /usr/sbin/gdm3
root         720       1  0 16:05 ?        00:00:00 /usr/sbin/cups-browsed
kernoops     723       1  0 16:05 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     726       1  0 16:05 ?        00:00:00 /usr/sbin/kerneloops
root         805     643  0 16:05 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
sumanth      810       1  0 16:05 ?        00:00:00 /lib/systemd/systemd --user
sumanth      811     810  0 16:05 ?        00:00:00 (sd-pam)
sumanth      817     810  0 16:05 ?        00:00:00 /usr/bin/pipewire
sumanth      818     810  0 16:05 ?        00:00:00 /usr/bin/pipewire-media-session
sumanth      819     810  0 16:05 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
sumanth      828       1  0 16:05 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
sumanth      838     805  0 16:05 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
rtkit        839       1  0 16:05 ?        00:00:00 /usr/libexec/rtkit-daemon
sumanth      840     810  0 16:05 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
sumanth      848     810  0 16:05 ?        00:00:00 /usr/libexec/gvfsd
sumanth      849     810  0 16:05 ?        00:00:00 /usr/libexec/xdg-document-portal
sumanth      850     838  0 16:05 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
sumanth      864     810  0 16:05 ?        00:00:00 /usr/libexec/xdg-permission-store
sumanth      876     810  0 16:05 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
root         878     849  0 16:05 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
sumanth      973     810  0 16:05 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
sumanth     1039     810  0 16:05 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
sumanth     1080     810  1 16:05 ?        00:00:35 /usr/bin/gnome-shell
sumanth     1082    1039  0 16:05 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
sumanth     1092    1082  0 16:05 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
sumanth     1212     810  0 16:05 ?        00:00:00 /snap/snapd-desktop-integration/14/bin/snapd-desktop-integration
sumanth     1275     810  0 16:05 ?        00:00:00 /usr/libexec/xdg-desktop-portal
sumanth     1279     810  0 16:05 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
sumanth     1286     810  0 16:05 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
sumanth     1292     810  0 16:05 ?        00:00:00 /usr/libexec/evolution-source-registry
sumanth     1296     810  0 16:05 ?        00:00:00 /usr/libexec/dconf-service
root        1299       1  0 16:05 ?        00:00:00 /usr/libexec/upowerd
sumanth     1303     810  0 16:05 ?        00:00:00 /usr/libexec/goa-daemon
sumanth     1310     810  0 16:05 ?        00:00:00 /usr/libexec/evolution-calendar-factory
sumanth     1313     810  0 16:05 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
sumanth     1322     810  0 16:05 ?        00:00:00 /usr/libexec/goa-identity-service
sumanth     1328     810  0 16:05 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
sumanth     1333     810  0 16:05 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
sumanth     1339     810  0 16:05 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
sumanth     1347     810  0 16:05 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
sumanth     1351     810  0 16:05 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
sumanth     1360     810  0 16:05 ?        00:00:00 /usr/libexec/gvfsd-metadata
root        1368       1  0 16:05 ?        00:00:00 /usr/libexec/packagekitd
sumanth     1380     848  0 16:05 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
sumanth     1389     810  0 16:05 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
sumanth     1391     810  0 16:05 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
sumanth     1395     810  0 16:05 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
sumanth     1396     810  0 16:05 ?        00:00:00 /usr/libexec/gsd-a11y-settings
sumanth     1397     810  0 16:05 ?        00:00:00 /usr/libexec/gsd-color
sumanth     1401    1395  0 16:05 ?        00:00:02 /usr/bin/ibus-daemon --panel disable
sumanth     1403     810  0 16:05 ?        00:00:00 /usr/libexec/gsd-datetime
sumanth     1404     810  0 16:05 ?        00:00:00 /usr/libexec/gsd-housekeeping
sumanth     1406     810  0 16:05 ?        00:00:00 /usr/libexec/gsd-keyboard
sumanth     1407     810  0 16:05 ?        00:00:00 /usr/libexec/gsd-media-keys
sumanth     1408     810  0 16:05 ?        00:00:00 /usr/libexec/gsd-power
sumanth     1414     810  0 16:05 ?        00:00:00 /usr/libexec/gsd-print-notifications
sumanth     1417     810  0 16:05 ?        00:00:00 /usr/libexec/gsd-rfkill
sumanth     1419     810  0 16:05 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
sumanth     1421     810  0 16:05 ?        00:00:00 /usr/libexec/gsd-sharing
sumanth     1422     810  0 16:05 ?        00:00:00 /usr/libexec/gsd-smartcard
sumanth     1423     810  0 16:05 ?        00:00:00 /usr/libexec/gsd-sound
sumanth     1438     810  0 16:05 ?        00:00:00 /usr/libexec/gsd-wacom
sumanth     1446     810  0 16:05 ?        00:00:00 /usr/bin/spice-vdagent
sumanth     1475    1080  0 16:05 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.6A4QY1 -listen 4 -listen 5 -displayfd 6 -initfd 7
sumanth     1488     810  0 16:05 ?        00:00:00 /usr/libexec/gsd-printer
sumanth     1502    1401  0 16:05 ?        00:00:00 /usr/libexec/ibus-dconf
sumanth     1503    1401  0 16:05 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
sumanth     1506     810  0 16:05 ?        00:00:00 /usr/libexec/ibus-portal
sumanth     1521    1401  0 16:05 ?        00:00:00 /usr/libexec/ibus-engine-simple
sumanth     1538     810  0 16:05 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
colord      1544       1  0 16:05 ?        00:00:00 /usr/libexec/colord
sumanth     1556     810  0 16:05 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
sumanth     1577     810  0 16:05 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
sumanth     1588     810  0 16:05 ?        00:00:00 /usr/libexec/gsd-xsettings
sumanth     1617    1080  0 16:05 ?        00:00:01 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1280:800:1:27:0:74:0:0
sumanth     1619     810  0 16:05 ?        00:00:00 /usr/libexec/ibus-x11
root        1650       1  0 16:05 ?        00:00:02 /usr/sbin/spice-vdagentd
sumanth     1686    1039  0 16:05 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
sumanth     1692    1039  0 16:05 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
sumanth     2272    1039  0 16:06 ?        00:00:00 update-notifier
sumanth     2588     810  0 16:07 ?        00:00:07 /usr/libexec/gnome-terminal-server
sumanth     2606    2588  0 16:07 pts/0    00:00:00 bash
root        3140       2  0 16:11 ?        00:00:01 [kworker/1:2-events]
root        3141       2  0 16:11 ?        00:00:01 [kworker/0:3-events]
root        3669       2  0 16:16 ?        00:00:00 [kworker/u4:1-ext4-rsv-conversion]
root        3687       2  0 16:20 ?        00:00:00 [kworker/u4:2-flush-8:0]
sumanth     3876     828  0 16:28 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
root        3887       2  0 16:29 ?        00:00:00 [kworker/0:1-events]
root        4347       2  0 16:34 ?        00:00:00 [kworker/u4:0-events_unbound]
root        4348       2  0 16:34 ?        00:00:00 [kworker/0:0-events]
root        4352       2  0 16:35 ?        00:00:00 [kworker/u4:3]
sumanth     4354    2606  0 16:36 pts/0    00:00:00 ps -ef
